1205,D9
321,D9
436,D9
1395,D9
1006,D9
328,D9
1188,D9
846,D9
1076,D9
1386,D9
1393,D9
157,D9
1330,D9
657,D9
1109,D9
1180,D9
86,D9,D3
1251,D9
275,D9
448,D9
1041,D9
395,D9
38,D9
453,D9
621,D9
16,D9,D1,D2,D3,D4,D5,D6,D7
721,D9
1158,D9
1278,D9
310,D9
109,D9
249,D9
134,D9
517,D9
1324,D9
341,D9
1134,D9
1183,D9
891,D9
1363,D9
502,D9
1331,D9
361,D9
981,D9
1087,D9
970,D9
1197,D9
18,D9
499,D9
1074,D9
461,D9
1437,D9
104,D9
95,D9
1217,D9
771,D9
1858,D9,D1,D2,D4,D5,D7,D8
1085,D9
509,D9
1352,D9
1396,D9
1244,D9
1385,D9
1400,D9
337,D9
200,D9
418,D9
108,D9
581,D9
1436,D9
426,D9
681,D9
949,D9
1383,D9
1045,D9
242,D9
1369,D9
1366,D9
235,D9
1147,D9
704,D9
691,D9
431,D9
432,D9
155,D9
1077,D9
525,D9
269,D9
1203,D9
1333,D9
627,D9
546,D9
308,D9
600,D9
1358,D9
832,D9
1044,D9
550,D9
1130,D9
336,D9
1355,D9
1372,D9
1321,D9
228,D9
1112,D9
15,D9,D1,D2,D3,D4,D5,D6,D7,D8
1860,D1,D2,D6,D8
289,D3
320,D3
172,D3
2025,D4,D7
3510,D4,D6,D7
1496,D4
1266,D4
2420,D4,D6,D7
7293,D5
11781,D5,D6
5050,D5
13490,D5
14230,D5
10542,D5
4289,D5,D6,D7
6781,D6
12789,D6
11935,D6
19827,D6
13892,D6
11969,D6
10524,D6
12595,D6
11934,D6
7735,D6
4607,D6
6870,D6
9371,D6
5824,D7
5959,D7
10442,D7
18574,D7
17899,D7
27654,D7
5960,D7
10405,D7
11841,D7
5825,D7
17345,D7
11848,D7
14632,D7
11829,D7
27432,D7
26855,D7
19642,D7
26755,D7
11157,D7
14677,D7
10490,D7
11851,D7
10545,D7
26865,D7
5826,D7
13227,D7
28666,D7
10522,D7
24525,D7
10556,D7
6119,D7
10924,D8
10920,D8
9203,D8
7578,D8
9207,D8
4677,D8
7564,D8
9537,D8
4676,D8
9952,D8
9213,D8
7892,D8
7891,D8
12799,D8
12812,D8
11537,D8
9536,D8
13128,D8
13127,D8
12275,D8
10922,D8
